Date,County,State,Fips,Cases,Deaths
4/3/2020,Hawaii,Hawaii,15001,20,0
4/3/2020,Honolulu,Hawaii,15003,237,2
4/3/2020,Kauai,Hawaii,15007,13,0
4/3/2020,Maui,Hawaii,15009,36,0
4/3/2020,Unknown,Hawaii,,11,1
4/4/2020,Hawaii,Hawaii,15001,22,0
4/4/2020,Honolulu,Hawaii,15003,266,2
4/4/2020,Kauai,Hawaii,15007,15,0
4/4/2020,Maui,Hawaii,15009,38,0
4/4/2020,Unknown,Hawaii,,8,1
4/5/2020,Hawaii,Hawaii,15001,22,0
4/5/2020,Honolulu,Hawaii,15003,281,2
4/5/2020,Kauai,Hawaii,15007,16,0
4/5/2020,Maui,Hawaii,15009,43,0
4/5/2020,Unknown,Hawaii,,10,1
4/6/2020,Hawaii,Hawaii,15001,23,0
4/6/2020,Honolulu,Hawaii,15003,292,4
4/6/2020,Kauai,Hawaii,15007,17,0
4/6/2020,Maui,Hawaii,15009,44,1
4/6/2020,Unknown,Hawaii,,9,0
4/7/2020,Hawaii,Hawaii,15001,23,0
4/7/2020,Honolulu,Hawaii,15003,312,4
4/7/2020,Kauai,Hawaii,15007,18,0
4/7/2020,Maui,Hawaii,15009,48,1
4/7/2020,Unknown,Hawaii,,7,0
4/8/2020,Hawaii,Hawaii,15001,26,0
4/8/2020,Honolulu,Hawaii,15003,328,4
4/8/2020,Kauai,Hawaii,15007,18,0
4/8/2020,Maui,Hawaii,15009,54,1
4/8/2020,Unknown,Hawaii,,7,0
4/9/2020,Hawaii,Hawaii,15001,28,0
4/9/2020,Honolulu,Hawaii,15003,334,4
4/9/2020,Kauai,Hawaii,15007,18,0
4/9/2020,Maui,Hawaii,15009,57,2
4/9/2020,Unknown,Hawaii,,3,0
4/10/2020,Hawaii,Hawaii,15001,31,0
4/10/2020,Honolulu,Hawaii,15003,343,5
4/10/2020,Kauai,Hawaii,15007,19,0
4/10/2020,Maui,Hawaii,15009,66,3
4/10/2020,Unknown,Hawaii,,4,0
4/11/2020,Hawaii,Hawaii,15001,34,0
4/11/2020,Honolulu,Hawaii,15003,348,5
4/11/2020,Kauai,Hawaii,15007,19,0
4/11/2020,Maui,Hawaii,15009,80,3
4/11/2020,Unknown,Hawaii,,3,0
4/12/2020,Hawaii,Hawaii,15001,39,0
4/12/2020,Honolulu,Hawaii,15003,350,6
4/12/2020,Kauai,Hawaii,15007,21,0
4/12/2020,Maui,Hawaii,15009,84,3
4/12/2020,Unknown,Hawaii,,3,0
4/13/2020,Hawaii,Hawaii,15001,40,0
4/13/2020,Honolulu,Hawaii,15003,352,6
4/13/2020,Kauai,Hawaii,15007,21,0
4/13/2020,Maui,Hawaii,15009,86,3
4/13/2020,Unknown,Hawaii,,3,0
4/14/2020,Hawaii,Hawaii,15001,41,0
4/14/2020,Honolulu,Hawaii,15003,358,6
4/14/2020,Kauai,Hawaii,15007,21,0
4/14/2020,Maui,Hawaii,15009,88,3
4/14/2020,Unknown,Hawaii,,3,0
4/15/2020,Hawaii,Hawaii,15001,41,0
4/15/2020,Honolulu,Hawaii,15003,369,6
4/15/2020,Kauai,Hawaii,15007,21,0
4/15/2020,Maui,Hawaii,15009,92,3
4/15/2020,Unknown,Hawaii,,1,0
4/16/2020,Hawaii,Hawaii,15001,41,0
4/16/2020,Honolulu,Hawaii,15003,373,6
4/16/2020,Kauai,Hawaii,15007,21,0
4/16/2020,Maui,Hawaii,15009,95,3
4/16/2020,Unknown,Hawaii,,5,0
4/17/2020,Hawaii,Hawaii,15001,44,0
4/17/2020,Honolulu,Hawaii,15003,380,6
4/17/2020,Kauai,Hawaii,15007,21,0
4/17/2020,Maui,Hawaii,15009,102,3
4/18/2020,Hawaii,Hawaii,15001,61,0
4/18/2020,Honolulu,Hawaii,15003,382,6
4/18/2020,Kauai,Hawaii,15007,21,0
4/18/2020,Maui,Hawaii,15009,104,3
4/19/2020,Hawaii,Hawaii,15001,62,0
4/19/2020,Honolulu,Hawaii,15003,385,6
4/19/2020,Kauai,Hawaii,15007,21,0
4/19/2020,Maui,Hawaii,15009,106,4
4/20/2020,Hawaii,Hawaii,15001,64,0
4/20/2020,Honolulu,Hawaii,15003,385,6
4/20/2020,Kauai,Hawaii,15007,21,0
4/20/2020,Maui,Hawaii,15009,108,4
